suite,case_id,arm_id,expected,success,unsupported,not_attempted,not_collected,timeout,memory_limit,failure,complete,quality_qualified,int8_error_characterization_only
W,edc_n17,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,edc_n17,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,edc_n17,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,edc_n17,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,edc_n19,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,edc_n19,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,edc_n21,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,edc_n21,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,edc_n23,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,edc_n23,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,edc_n25,upmem_d64_t24_static_dag_waves_v1_1_f32,5,0,5,0,0,0,0,0,False,False,False
W,edc_n25,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,hs_n08,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,hs_n08,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,hs_n08,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,hs_n08,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,hs_n12,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,hs_n12,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,hs_n12,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,hs_n12,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,hs_n16,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,hs_n16,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,hs_n16,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,hs_n16,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,hs_n18,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,hs_n18,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,hs_n18,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,hs_n18,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,hs_n20,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,hs_n20,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,hs_n22,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,hs_n22,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,hs_n24,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,hs_n24,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,hs_n26,upmem_d64_t24_static_dag_waves_v1_1_f32,5,0,5,0,0,0,0,0,False,False,False
W,hs_n26,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n08,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n08,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n08,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n08,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n12,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n12,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n12,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n12,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n16,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n16,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n16,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n16,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n18,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n18,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n18,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n18,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n20,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n20,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n22,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n22,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n24,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n24,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,qrng_n26,upmem_d64_t24_static_dag_waves_v1_1_f32,5,0,5,0,0,0,0,0,False,False,False
W,qrng_n26,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,xor_n08,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,xor_n08,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,xor_n08,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,xor_n08,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,xor_n12,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
