suite,case_id,arm_id,metric,median,raw_mad,count,quality_qualified
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,session_open_s,0.33806581498356536,0.002072828996460885,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,session_close_s,0.003905844991095364,0.00034460698952898383,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,h2d_s,0.185117608,0.0008153829999999751,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,d2h_s,0.18778997899999994,0.0016992199999999458,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,h2d_bytes,491936,0,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,d2h_bytes,1467584,0,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,job_to_state_s,2.631361936975736,0.032081740035209805,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,prepared_call_s,2.485351225011982,0.03804720699554309,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,session_inclusive_s,2.4425577800138853,0.03775992995360866,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,steady_s,2.098319665994495,0.034586534020490944,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,kernel_s,1.0529190540000002,0.006934097999999889,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,session_open_s,0.3402280270238407,0.003383043978828937,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,session_close_s,0.003841344965621829,7.440592162311077e-05,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,h2d_s,0.18109084800000008,0.004832333999999938,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,d2h_s,0.17879157899999998,0.008830290000000046,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,h2d_bytes,491936,0,7,True
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,d2h_bytes,1467584,0,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,job_to_state_s,2.4711890059988946,0.028957053960766643,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,prepared_call_s,2.331537476973608,0.030282690015155822,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,session_inclusive_s,2.288735857931897,0.030263138993177563,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,steady_s,1.911103152029682,0.030469304940197617,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,kernel_s,0.360390643,0.0009082749999999584,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,session_open_s,0.3768857899704017,0.003219423000700772,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,session_close_s,0.003760172985494137,0.00013269699411466718,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,h2d_s,0.36359465799999996,0.00209755099999992,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,d2h_s,0.275414852,0.004196249000000041,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,h2d_bytes,704480,0,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,d2h_bytes,1573856,0,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,job_to_state_s,1.3814415949746035,0.022307572013232857,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,prepared_call_s,1.2426763529656455,0.02227038604905829,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,session_inclusive_s,1.1994631150155328,0.022372448991518468,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,steady_s,0.8646778610418551,0.01923384895781055,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,kernel_s,0.291729715,0.0004893970000000025,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,session_open_s,0.33326416299678385,0.0007836880395188928,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,session_close_s,0.0038936029886826873,0.00018878595437854528,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,h2d_s,0.10819557899999999,0.0010318430000000045,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,d2h_s,0.09733077000000001,0.0035387229999999797,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,h2d_bytes,278512,0,7,True
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,d2h_bytes,1463264,0,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,job_to_state_s,1.5047930239816196,0.009912674024235457,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,prepared_call_s,1.2458389810053632,0.011133056948892772,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,session_inclusive_s,1.2030267939553596,0.010925676964689046,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,steady_s,0.7678501739865169,0.01023052801610902,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,kernel_s,0.377569363,9.080399999999988e-05,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,session_open_s,0.43390793801518157,0.0017684080521576107,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,session_close_s,0.003732238954398781,0.00019252393394708633,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,h2d_s,0.06764809599999999,0.0017418430000000068,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,d2h_s,0.07590476500000001,0.0017332969999999809,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,h2d_bytes,227824,0,7,True
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,d2h_bytes,1437920,0,7,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,job_to_state_s,1.7707144350279123,0.007027435000054538,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,prepared_call_s,1.4695526030263864,0.0059032809804193676,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,session_inclusive_s,1.404072322009597,0.00617998099187389,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,steady_s,0.9095470380270854,0.0004830890684388578,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,kernel_s,0.35400313,0.0004598809999999953,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,session_open_s,0.4934090769966133,0.004434927017427981,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,session_close_s,0.004123101010918617,0.00021264399401843548,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,h2d_s,0.06146892299999996,0.0006426070000000519,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,d2h_s,0.12955273099999998,0.0005417649999999441,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,h2d_bytes,70224,0,5,True
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,d2h_bytes,4243472,0,5,True
D,hs_n18,upmem_d1_t24_static_dag_waves_v1_1_f32,job_to_state_s,1.7087688510073349,0.00895948603283614,5,True
D,hs_n18,upmem_d1_t24_static_dag_waves_v1_1_f32,prepared_call_s,1.4097769309883006,0.007188818010035902,5,True
D,hs_n18,upmem_d1_t24_static_dag_waves_v1_1_f32,session_inclusive_s,1.3445949559682049,0.007370593957602978,5,True
