case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs
hs_n18,1,2,2,2,0,contract_28,4,32
hs_n18,1,2,2,2,0,contract_29,4,32
hs_n18,1,2,2,8,0,contract_30,16,128
hs_n18,1,2,2,2,0,contract_31,4,32
hs_n18,1,2,1,2,0,contract_32,2,16
hs_n18,1,2,1,2,0,contract_33,2,16
hs_n18,1,2,2,8,0,contract_34,16,128
hs_n18,1,2,1,8,2,contract_35,8,64
hs_n18,1,2,2,2,0,contract_36,4,32
hs_n18,1,2,2,2,0,contract_37,4,32
hs_n18,1,2,2,8,0,contract_38,16,128
hs_n18,1,2,2,2,0,contract_39,4,32
hs_n18,1,2,1,2,0,contract_40,2,16
hs_n18,1,2,1,2,0,contract_41,2,16
hs_n18,1,2,2,8,0,contract_42,16,128
hs_n18,1,2,1,8,2,contract_43,8,64
hs_n18,1,2,2,2,0,contract_44,4,32
hs_n18,1,2,2,2,0,contract_45,4,32
hs_n18,1,2,2,8,0,contract_46,16,128
hs_n18,1,2,2,2,0,contract_47,4,32
hs_n18,1,2,1,2,0,contract_48,2,16
hs_n18,1,2,1,2,0,contract_49,2,16
hs_n18,1,2,2,8,0,contract_50,16,128
hs_n18,1,2,1,8,2,contract_51,8,64
hs_n18,1,2,2,2,0,contract_52,4,32
hs_n18,1,2,2,2,0,contract_53,4,32
hs_n18,1,2,2,8,0,contract_54,16,128
hs_n18,1,2,2,2,0,contract_55,4,32
hs_n18,1,2,1,2,0,contract_56,2,16
hs_n18,1,2,1,2,0,contract_57,2,16
hs_n18,1,2,2,8,0,contract_58,16,128
hs_n18,1,2,1,8,2,contract_59,8,64
hs_n18,1,2,2,2,0,contract_60,4,32
hs_n18,1,2,2,2,0,contract_61,4,32
hs_n18,1,2,2,8,0,contract_62,16,128
hs_n18,1,2,2,2,0,contract_63,4,32
hs_n18,1,2,1,2,0,contract_64,2,16
hs_n18,1,2,1,2,0,contract_65,2,16
hs_n18,1,2,2,8,0,contract_66,16,128
hs_n18,1,2,1,8,2,contract_67,8,64
hs_n18,1,2,2,2,0,contract_68,4,32
hs_n18,1,2,2,2,0,contract_69,4,32
hs_n18,1,2,2,8,0,contract_70,16,128
hs_n18,1,2,2,2,0,contract_71,4,32
hs_n18,1,2,2,1,1,contract_72,2,16
hs_n18,1,2,4,1,2,contract_73,4,32
hs_n18,1,2,8,2,2,contract_74,16,128
hs_n18,1,2,2,1,1,contract_75,2,16
hs_n18,1,2,4,1,2,contract_76,4,32
hs_n18,1,2,8,2,2,contract_77,16,128
hs_n18,1,2,2,1,1,contract_78,2,16
hs_n18,1,2,4,1,2,contract_79,4,32
hs_n18,1,2,8,2,2,contract_80,16,128
hs_n18,1,2,2,1,1,contract_81,2,16
hs_n18,1,2,4,1,2,contract_82,4,32
hs_n18,1,2,8,2,2,contract_83,16,128
hs_n18,1,2,2,1,1,contract_84,2,16
hs_n18,1,2,4,1,2,contract_85,4,32
hs_n18,1,2,8,2,2,contract_86,16,128
hs_n18,1,2,2,1,1,contract_87,2,16
hs_n18,1,2,4,1,2,contract_88,4,32
hs_n18,1,2,8,2,2,contract_89,16,128
hs_n18,1,2,2,1,1,contract_90,2,16
hs_n18,1,2,4,1,2,contract_91,4,32
hs_n18,1,2,8,2,2,contract_92,16,128
hs_n18,1,2,2,1,1,contract_93,2,16
hs_n18,1,2,4,1,2,contract_94,4,32
hs_n18,1,2,8,2,2,contract_95,16,128
hs_n18,1,2,2,1,1,contract_96,2,16
hs_n18,1,2,4,1,2,contract_97,4,32
hs_n18,1,2,8,2,2,contract_98,16,128
hs_n18,1,2,2,2,2,contract_99,4,32
hs_n18,1,2,2,8,1,contract_100,16,128
hs_n18,1,2,2,2,2,contract_101,4,32
hs_n18,1,2,2,8,1,contract_102,16,128
hs_n18,1,2,2,2,2,contract_103,4,32
hs_n18,1,2,2,8,1,contract_104,16,128
hs_n18,1,2,2,2,2,contract_105,4,32
hs_n18,1,2,2,8,1,contract_106,16,128
hs_n18,1,2,2,2,2,contract_107,4,32
hs_n18,1,2,2,8,1,contract_108,16,128
hs_n18,1,2,2,2,2,contract_109,4,32
hs_n18,1,2,2,8,1,contract_110,16,128
hs_n18,1,2,2,2,2,contract_111,4,32
hs_n18,1,2,2,8,1,contract_112,16,128
hs_n18,1,2,2,2,2,contract_113,4,32
hs_n18,1,2,2,8,1,contract_114,16,128
hs_n18,1,2,2,2,2,contract_115,4,32
hs_n18,1,2,2,8,1,contract_116,16,128
hs_n18,1,2,2,2,2,contract_117,4,32
hs_n18,1,4,4,1,2,contract_118,4,64
hs_n18,1,2,2,2,2,contract_119,4,32
hs_n18,1,4,4,1,2,contract_120,4,64
hs_n18,1,2,2,2,2,contract_121,4,32
hs_n18,1,4,4,1,2,contract_122,4,64
hs_n18,1,2,2,2,2,contract_123,4,32
hs_n18,1,4,4,1,2,contract_124,4,64
hs_n18,1,2,2,2,2,contract_125,4,32
hs_n18,1,4,4,1,2,contract_126,4,64
hs_n18,1,2,2,2,2,contract_127,4,32
hs_n18,1,4,4,1,2,contract_128,4,64
hs_n18,1,2,2,2,2,contract_129,4,32
hs_n18,1,4,4,1,2,contract_130,4,64
hs_n18,1,2,2,2,2,contract_131,4,32
hs_n18,1,4,4,1,2,contract_132,4,64
hs_n18,1,2,2,2,2,contract_133,4,32
hs_n18,1,4,4,1,2,contract_134,4,64
hs_n18,1,1,4,4,2,contract_135,16,64
hs_n18,1,1,4,4,2,contract_136,16,64
hs_n18,1,1,4,4,2,contract_137,16,64
hs_n18,1,1,4,4,2,contract_138,16,64
hs_n18,1,1,4,16,2,contract_139,64,256
hs_n18,1,1,16,16,2,contract_140,256,1024
hs_n18,1,1,16,64,2,contract_141,1024,4096
hs_n18,1,1,256,1024,2,contract_142,262144,1048576
hs_n20,1,2,1,2,0,contract_0,2,16
hs_n20,1,2,1,2,0,contract_1,2,16
hs_n20,1,2,2,8,0,contract_2,16,128
hs_n20,1,2,1,8,2,contract_3,8,64
hs_n20,1,2,2,2,0,contract_4,4,32
hs_n20,1,2,2,2,0,contract_5,4,32
hs_n20,1,2,2,8,0,contract_6,16,128
hs_n20,1,2,2,2,0,contract_7,4,32
hs_n20,1,2,1,2,0,contract_8,2,16
hs_n20,1,2,1,2,0,contract_9,2,16
hs_n20,1,2,2,8,0,contract_10,16,128
hs_n20,1,2,1,8,2,contract_11,8,64
