case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs,input_source_id,source_row
bb84_n20,1,1,16,16,2,contract_35,256,1024,final_contractions,140
bb84_n20,1,1,16,16,2,contract_36,256,1024,final_contractions,141
bb84_n20,1,1,16,256,2,contract_37,4096,16384,final_contractions,142
bb84_n20,1,1,256,4096,2,contract_38,1048576,4194304,final_contractions,143
bb84_n22,1,2,1,2,0,contract_0,2,16,final_contractions,144
bb84_n22,1,2,1,2,0,contract_1,2,16,final_contractions,145
bb84_n22,1,2,1,2,0,contract_2,2,16,final_contractions,146
bb84_n22,1,2,1,2,0,contract_3,2,16,final_contractions,147
bb84_n22,1,2,1,2,0,contract_4,2,16,final_contractions,148
bb84_n22,1,2,1,2,0,contract_5,2,16,final_contractions,149
bb84_n22,1,2,1,2,0,contract_6,2,16,final_contractions,150
bb84_n22,1,2,1,2,0,contract_7,2,16,final_contractions,151
bb84_n22,1,2,1,2,0,contract_8,2,16,final_contractions,152
bb84_n22,1,2,1,2,0,contract_9,2,16,final_contractions,153
bb84_n22,1,2,1,2,0,contract_10,2,16,final_contractions,154
bb84_n22,1,2,1,2,0,contract_11,2,16,final_contractions,155
bb84_n22,1,2,1,2,0,contract_12,2,16,final_contractions,156
bb84_n22,1,2,1,2,0,contract_13,2,16,final_contractions,157
bb84_n22,1,2,1,2,0,contract_14,2,16,final_contractions,158
bb84_n22,1,2,1,2,0,contract_15,2,16,final_contractions,159
bb84_n22,1,2,2,1,1,contract_16,2,16,final_contractions,160
bb84_n22,1,2,2,1,1,contract_17,2,16,final_contractions,161
bb84_n22,1,2,2,1,1,contract_18,2,16,final_contractions,162
bb84_n22,1,2,2,1,1,contract_19,2,16,final_contractions,163
bb84_n22,1,2,2,1,1,contract_20,2,16,final_contractions,164
bb84_n22,1,1,2,2,0,contract_21,4,16,final_contractions,165
bb84_n22,1,1,2,2,0,contract_22,4,16,final_contractions,166
bb84_n22,1,1,2,2,0,contract_23,4,16,final_contractions,167
bb84_n22,1,1,2,2,2,contract_24,4,16,final_contractions,168
bb84_n22,1,1,2,2,2,contract_25,4,16,final_contractions,169
bb84_n22,1,1,2,2,2,contract_26,4,16,final_contractions,170
bb84_n22,1,1,2,2,2,contract_27,4,16,final_contractions,171
bb84_n22,1,1,2,2,2,contract_28,4,16,final_contractions,172
bb84_n22,1,1,2,2,2,contract_29,4,16,final_contractions,173
bb84_n22,1,1,2,2,2,contract_30,4,16,final_contractions,174
bb84_n22,1,1,2,2,2,contract_31,4,16,final_contractions,175
bb84_n22,1,1,4,4,2,contract_32,16,64,final_contractions,176
bb84_n22,1,1,4,4,2,contract_33,16,64,final_contractions,177
bb84_n22,1,1,4,4,2,contract_34,16,64,final_contractions,178
bb84_n22,1,1,4,4,2,contract_35,16,64,final_contractions,179
bb84_n22,1,1,4,4,2,contract_36,16,64,final_contractions,180
bb84_n22,1,1,4,16,2,contract_37,64,256,final_contractions,181
bb84_n22,1,1,16,16,2,contract_38,256,1024,final_contractions,182
bb84_n22,1,1,16,16,2,contract_39,256,1024,final_contractions,183
bb84_n22,1,1,64,256,2,contract_40,16384,65536,final_contractions,184
bb84_n22,1,1,256,16384,2,contract_41,4194304,16777216,final_contractions,185
bb84_n24,1,2,1,2,0,contract_0,2,16,final_contractions,186
bb84_n24,1,2,1,2,0,contract_1,2,16,final_contractions,187
