cell_id,family,topology_id,contrast,metric,ratio_of_medians,denominator_time_reduction_pct,paired_bootstrap_low,paired_bootstrap_high,same_selected_path,input_source_id,source_row,ratio,time_reduction_pct,denominator_time_increase_pct
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,G/R,session_inclusive_s,0.9554588996200603,-4.661749489972999,0.9402024861302737,1.0051108659413024,False,p6_contrasts,42,0.9554588996200603,-4.661749489972999,4.661749489972999
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,G/F,session_inclusive_s,0.9554588996200603,-4.661749489972999,0.9402024861302737,1.0051108659413024,False,p6_contrasts,43,0.9554588996200603,-4.661749489972999,4.661749489972999
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,R/U,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,44,1.0,0.0,0.0
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,F/U,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,45,1.0,0.0,0.0
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,G/U,total_wall_s,0.9918519855865415,-0.8214949944008065,0.9439888924820072,1.0492692348058903,False,p6_contrasts,46,0.9918519855865415,-0.8214949944008065,0.8214949944008065
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,F/R,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,47,1.0,0.0,0.0
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,G/R,total_wall_s,0.9918519855865415,-0.8214949944008065,0.9439888924820072,1.0492692348058903,False,p6_contrasts,48,0.9918519855865415,-0.8214949944008065,0.8214949944008065
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,G/F,total_wall_s,0.9918519855865415,-0.8214949944008065,0.9439888924820072,1.0492692348058903,False,p6_contrasts,49,0.9918519855865415,-0.8214949944008065,0.8214949944008065
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,R/U,session_inclusive_s,1.0052991589332263,0.5271225869570517,0.9940707371218185,1.0133711559077234,False,p6_contrasts,50,1.0052991589332263,0.5271225869570517,-0.5271225869570517
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,F/U,session_inclusive_s,1.0052991589332263,0.5271225869570517,0.9940707371218185,1.0133711559077234,False,p6_contrasts,51,1.0052991589332263,0.5271225869570517,-0.5271225869570517
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,G/U,session_inclusive_s,2.151982591889314,53.53122261448877,2.1285014172860506,2.1684754318978725,False,p6_contrasts,52,2.151982591889314,53.53122261448877,-53.53122261448877
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,F/R,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,53,1.0,0.0,0.0
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,G/R,session_inclusive_s,2.1406390055800815,53.28497717769023,2.127901466876836,2.1625449511148696,False,p6_contrasts,54,2.1406390055800815,53.28497717769023,-53.28497717769023
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,G/F,session_inclusive_s,2.1406390055800815,53.28497717769023,2.127901466876836,2.1625449511148696,False,p6_contrasts,55,2.1406390055800815,53.28497717769023,-53.28497717769023
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,R/U,total_wall_s,1.0047705571088694,0.47479069476281666,0.9882777457722307,1.0134068799036362,False,p6_contrasts,56,1.0047705571088694,0.47479069476281666,-0.47479069476281666
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,F/U,total_wall_s,1.0047705571088694,0.47479069476281666,0.9882777457722307,1.0134068799036362,False,p6_contrasts,57,1.0047705571088694,0.47479069476281666,-0.47479069476281666
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,G/U,total_wall_s,2.1881330802014216,54.298940542137956,2.1517151031873274,2.1975701753981385,False,p6_contrasts,58,2.1881330802014216,54.298940542137956,-54.298940542137956
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,F/R,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,59,1.0,0.0,0.0
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,G/R,total_wall_s,2.177744027947598,54.08092102805837,2.1606705979078065,2.1915818596666234,False,p6_contrasts,60,2.177744027947598,54.08092102805837,-54.08092102805837
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,G/F,total_wall_s,2.177744027947598,54.08092102805837,2.1606705979078065,2.1915818596666234,False,p6_contrasts,61,2.177744027947598,54.08092102805837,-54.08092102805837
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,R/U,session_inclusive_s,1.007153881185292,0.7103066690139603,0.9779215602290022,1.0158137571142805,False,p6_contrasts,62,1.007153881185292,0.7103066690139603,-0.7103066690139603
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,F/U,session_inclusive_s,1.3687176873682807,26.93891448697776,1.3459197417788253,1.3895977188148503,False,p6_contrasts,63,1.3687176873682807,26.93891448697776,-26.93891448697776
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,G/U,session_inclusive_s,2.8114251920515283,64.43085155432186,2.764067313482958,2.8487025435805253,False,p6_contrasts,64,2.8114251920515283,64.43085155432186,-64.43085155432186
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,F/R,session_inclusive_s,1.3589955943549301,26.41624416194913,1.3589955943549301,1.3763064406348176,False,p6_contrasts,65,1.3589955943549301,26.41624416194913,-26.41624416194913
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,G/R,session_inclusive_s,2.791455451418048,64.17639409247946,2.7309566382963357,2.8430724993937235,False,p6_contrasts,66,2.791455451418048,64.17639409247946,-64.17639409247946
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,G/F,session_inclusive_s,2.054057763699417,51.315877397772326,2.0053177364983554,2.0657263640228005,False,p6_contrasts,67,2.054057763699417,51.315877397772326,-51.315877397772326
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,R/U,total_wall_s,1.0066768852727233,0.663260016237921,0.9916225251449137,1.020047312547733,False,p6_contrasts,68,1.0066768852727233,0.663260016237921,-0.663260016237921
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,F/U,total_wall_s,1.4758634682316023,32.24305489462299,1.4631024882927732,1.5078937218205886,False,p6_contrasts,69,1.4758634682316023,32.24305489462299,-32.24305489462299
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,G/U,total_wall_s,3.089157854230764,67.62871801353734,3.0368059316804814,3.114163310971686,False,p6_contrasts,70,3.089157854230764,67.62871801353734,-67.62871801353734
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,F/R,total_wall_s,1.46607465595256,31.790649545724193,1.4585997974806435,1.4978528008824459,False,p6_contrasts,71,1.46607465595256,31.790649545724193,-31.790649545724193
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,G/R,total_wall_s,3.068668705345178,67.41257867758274,3.0012901724977294,3.087266888374845,False,p6_contrasts,72,3.068668705345178,67.41257867758274,-67.41257867758274
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,G/F,total_wall_s,2.093118991509581,52.224407496356015,2.0313288014162567,2.1165962683577124,False,p6_contrasts,73,2.093118991509581,52.224407496356015,-52.224407496356015
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,R/U,session_inclusive_s,0.9839961257348144,-1.6264163899257555,0.971010223796078,1.0034428793071997,False,p6_contrasts,74,0.9839961257348144,-1.6264163899257555,1.6264163899257555
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,F/U,session_inclusive_s,1.0024515909863023,0.24455953866961977,0.9933091542861123,1.0046711843652427,False,p6_contrasts,75,1.0024515909863023,0.24455953866961977,-0.24455953866961977
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,G/U,session_inclusive_s,0.7489087920971647,-33.52760850886878,0.7366327393426181,0.7737175028862017,False,p6_contrasts,76,0.7489087920971647,-33.52760850886878,33.52760850886878
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,F/R,session_inclusive_s,1.018755627963175,1.8410330650809437,0.990169428761,1.0346659177671376,False,p6_contrasts,77,1.018755627963175,1.8410330650809437,-1.8410330650809437
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,G/R,session_inclusive_s,0.7610891674374279,-31.39064945136194,0.748513703321894,0.7968170508662844,False,p6_contrasts,78,0.7610891674374279,-31.39064945136194,31.39064945136194
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,G/F,session_inclusive_s,0.7470772642101556,-33.85496359031161,0.73489211228248,0.7771380569006036,False,p6_contrasts,79,0.7470772642101556,-33.85496359031161,33.85496359031161
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,R/U,total_wall_s,0.9984458992464371,-0.1556519742067053,0.932044996103436,1.0034914621775246,False,p6_contrasts,80,0.9984458992464371,-0.1556519742067053,0.1556519742067053
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,F/U,total_wall_s,0.9889917668146345,-1.1130763222449325,0.9731681353403366,1.0060417137531472,False,p6_contrasts,81,0.9889917668146345,-1.1130763222449325,1.1130763222449325
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,G/U,total_wall_s,0.9946813107052748,-0.5347129012561957,0.9719931727967402,1.002148681399863,False,p6_contrasts,82,0.9946813107052748,-0.5347129012561957,0.5347129012561957
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,F/R,total_wall_s,0.9905311520244231,-0.9559364141374704,0.9697821775469939,1.077636783171697,False,p6_contrasts,83,0.9905311520244231,-0.9559364141374704,0.9559364141374704
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,G/R,total_wall_s,0.9962295518024525,-0.3784718281771182,0.9686113030673578,1.0534295367799151,False,p6_contrasts,84,0.9962295518024525,-0.3784718281771182,0.3784718281771182
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,G/F,total_wall_s,1.0057528728565308,0.5719966615846284,0.9775367296571528,1.0181117559045885,False,p6_contrasts,85,1.0057528728565308,0.5719966615846284,-0.5719966615846284
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,R/U,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,86,1.0,0.0,0.0
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,F/U,session_inclusive_s,1.0067101337180684,0.6665407939508761,0.9821675502863034,1.027228007999332,False,p6_contrasts,87,1.0067101337180684,0.6665407939508761,-0.6665407939508761
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,G/U,session_inclusive_s,0.6876131334103418,-45.43061372901924,0.6560844198063059,0.6953987340277036,False,p6_contrasts,88,0.6876131334103418,-45.43061372901924,45.43061372901924
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,F/R,session_inclusive_s,1.0067101337180684,0.6665407939508761,0.9821675502863034,1.027228007999332,False,p6_contrasts,89,1.0067101337180684,0.6665407939508761,-0.6665407939508761
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,G/R,session_inclusive_s,0.6876131334103418,-45.43061372901924,0.6560844198063059,0.6953987340277036,False,p6_contrasts,90,0.6876131334103418,-45.43061372901924,45.43061372901924
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,G/F,session_inclusive_s,0.6830299113715981,-46.4064725938417,0.6538719840678162,0.6982618777731431,False,p6_contrasts,91,0.6830299113715981,-46.4064725938417,46.4064725938417
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,R/U,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,92,1.0,0.0,0.0
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,F/U,total_wall_s,1.0354303244673968,3.421797066415011,0.9521918749943267,1.0354303244673968,False,p6_contrasts,93,1.0354303244673968,3.421797066415011,-3.421797066415011
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,G/U,total_wall_s,0.9718305696759211,-2.898594796567533,0.9027318106205813,1.0101384057169556,False,p6_contrasts,94,0.9718305696759211,-2.898594796567533,2.898594796567533
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,F/R,total_wall_s,1.0354303244673968,3.421797066415011,0.9521918749943267,1.0354303244673968,False,p6_contrasts,95,1.0354303244673968,3.421797066415011,-3.421797066415011
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,G/R,total_wall_s,0.9718305696759211,-2.898594796567533,0.9027318106205813,1.0101384057169556,False,p6_contrasts,96,0.9718305696759211,-2.898594796567533,2.898594796567533
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,G/F,total_wall_s,0.9385764997522262,-6.544325397449113,0.9235615880936872,1.0065564699991636,False,p6_contrasts,97,0.9385764997522262,-6.544325397449113,6.544325397449113
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,R/U,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,98,1.0,0.0,0.0
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,F/U,session_inclusive_s,0.9927087888848295,-0.7344763335238591,0.9864549304579023,1.022059397055421,False,p6_contrasts,99,0.9927087888848295,-0.7344763335238591,0.7344763335238591
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,G/U,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,100,1.0,0.0,0.0
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,F/R,session_inclusive_s,0.9927087888848295,-0.7344763335238591,0.9864549304579023,1.022059397055421,False,p6_contrasts,101,0.9927087888848295,-0.7344763335238591,0.7344763335238591
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,G/R,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,102,1.0,0.0,0.0
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,G/F,session_inclusive_s,1.0073447633352388,0.7291211115170615,0.9784167171507108,1.0137310576731673,False,p6_contrasts,103,1.0073447633352388,0.7291211115170615,-0.7291211115170615
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,R/U,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,104,1.0,0.0,0.0
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,F/U,total_wall_s,1.0055056410488263,0.5475494939126802,0.9975893748695868,1.0260945736738005,False,p6_contrasts,105,1.0055056410488263,0.5475494939126802,-0.5475494939126802
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,G/U,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,106,1.0,0.0,0.0
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,F/R,total_wall_s,1.0055056410488263,0.5475494939126802,0.9975893748695868,1.0260945736738005,False,p6_contrasts,107,1.0055056410488263,0.5475494939126802,-0.5475494939126802
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,G/R,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,108,1.0,0.0,0.0
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,G/F,total_wall_s,0.9945245050608732,-0.5505641048826337,0.9745690364774348,1.0024164502861996,False,p6_contrasts,109,0.9945245050608732,-0.5505641048826337,0.5505641048826337
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,R/U,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,110,1.0,0.0,0.0
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,F/U,session_inclusive_s,0.9925680079704519,-0.7487640111174532,0.9842827390695876,1.0039729555912247,False,p6_contrasts,111,0.9925680079704519,-0.7487640111174532,0.7487640111174532
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/U,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,112,1.0,0.0,0.0
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,F/R,session_inclusive_s,0.9925680079704519,-0.7487640111174532,0.9842827390695876,1.0039729555912247,False,p6_contrasts,113,0.9925680079704519,-0.7487640111174532,0.7487640111174532
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/R,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,114,1.0,0.0,0.0
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/F,session_inclusive_s,1.0074876401111745,0.743199202954814,0.9960427663224404,1.0159682378919592,False,p6_contrasts,115,1.0074876401111745,0.743199202954814,-0.743199202954814
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,R/U,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,116,1.0,0.0,0.0
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,F/U,total_wall_s,0.996308818616828,-0.37048566811810346,0.9821432338694165,1.0124037762806428,False,p6_contrasts,117,0.996308818616828,-0.37048566811810346,0.37048566811810346
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/U,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,118,1.0,0.0,0.0
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,F/R,total_wall_s,0.996308818616828,-0.37048566811810346,0.9821432338694165,1.0124037762806428,False,p6_contrasts,119,0.996308818616828,-0.37048566811810346,0.37048566811810346
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/R,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,120,1.0,0.0,0.0
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/F,total_wall_s,1.0037048566811808,0.36911813831719265,0.9877481923998628,1.0181814276317234,False,p6_contrasts,121,1.0037048566811808,0.36911813831719265,-0.36911813831719265
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,R/U,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,122,1.0,0.0,0.0
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,F/U,session_inclusive_s,0.9952957584447221,-0.47264760402765393,0.9783155376549326,1.0140718533111606,False,p6_contrasts,123,0.9952957584447221,-0.47264760402765393,0.47264760402765393
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,G/U,session_inclusive_s,2.3794539776378225,57.973551520725806,2.313854074195666,2.500498999141965,False,p6_contrasts,124,2.3794539776378225,57.973551520725806,-57.973551520725806
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,F/R,session_inclusive_s,0.9952957584447221,-0.47264760402765393,0.9783155376549326,1.0140718533111606,False,p6_contrasts,125,0.9952957584447221,-0.47264760402765393,0.47264760402765393
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,G/R,session_inclusive_s,2.3794539776378225,57.973551520725806,2.313854074195666,2.500498999141965,False,p6_contrasts,126,2.3794539776378225,57.973551520725806,-57.973551520725806
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,G/F,session_inclusive_s,2.3907004098520686,58.17125408608275,2.3651408826053,2.465800614598762,False,p6_contrasts,127,2.3907004098520686,58.17125408608275,-58.17125408608275
