suite,case_id,comparison,numerator,denominator,metric,ratio,descriptive_low,descriptive_high,denominator_time_reduction_percent,paired_blocks,equal_quality_claim,parallel_efficiency,input_source_id,source_row,time_reduction_pct,denominator_time_increase_pct,family,n
W,edc_n23,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.028830142558785424,0.028760164487383694,0.029351982760348994,-3368.5919362381696,5,True,,final_comparisons,234,-3368.5919362381696,3368.5919362381696,edc,23
W,edc_n23,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.02928590124412621,0.029202076084085312,0.029814473573639987,-3314.6123476414004,5,True,,final_comparisons,235,-3314.6123476414004,3314.6123476414004,edc,23
W,hs_n08,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.02856895576007293,0.025129660574610253,0.08686998159357881,-3400.3029456105232,5,True,,final_comparisons,236,-3400.3029456105232,3400.3029456105232,hs,8
W,hs_n08,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.03292975060254455,0.02894897323265851,0.10083142841104059,-2936.767608931505,5,True,,final_comparisons,237,-2936.767608931505,2936.767608931505,hs,8
W,hs_n08,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.0011179302208160302,0.0011027501449093085,0.0011925499185888625,-89351.02130525219,5,True,,final_comparisons,238,-89351.02130525219,89351.02130525219,hs,8
W,hs_n08,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.001196536637040298,0.0011812096023125988,0.0012954999262150416,-83474.54080750569,5,True,,final_comparisons,239,-83474.54080750569,83474.54080750569,hs,8
W,hs_n08,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.04045417578959426,0.04045417578959426,0.04288612555748894,-2371.932700349868,5,True,,final_comparisons,240,-2371.932700349868,2371.932700349868,hs,8
W,hs_n08,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.03374139956898685,0.033714966463689655,0.03610467751944334,-2863.7182001162228,5,True,,final_comparisons,241,-2863.7182001162228,2863.7182001162228,hs,8
W,hs_n12,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.018207432598292703,0.01637654255163152,0.05601804181909715,-5392.262539495927,5,True,,final_comparisons,242,-5392.262539495927,5392.262539495927,hs,12
W,hs_n12,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.022090369048797832,0.019862369444940166,0.06800976830190794,-4426.859636391726,5,True,,final_comparisons,243,-4426.859636391726,4426.859636391726,hs,12
