cell_id,family,topology_id,method,path_id,n,block,sample_id,session_instance_id,session_inclusive_s,total_wall_s,session_open_s,session_close_s,kernel_s,h2d_s,d2h_s,request_build_sum_s,request_wave_wall_sum_s
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,F,00f4b33065a6e9ba2d1f748a7acdbb43d64f1d6769b61127c1d3d13235633016,5,5,c9899972331bfd21c50abd768d4f3e4600a0aa86958b42ca5631761fb04176c8,126db8e8-cc3a-4eb0-9ebc-42024cb2a306,0.36327711504418403,0.25007370504317805,0.10809304501162842,0.005110364989377558,0.07452599400000001,0.018819946,0.049244409,0.015566647984087467,0.20522590406471863
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,1,363ef95fc50010f03ba52fe0a5b877c27ebcd089a6b4b70d266d5e27ce1c8c19,df0837cd-74ac-49a3-9e99-84d9ac31965a,0.34776593995047733,0.2330517820082605,0.11053208698285744,0.004182070959359407,0.074416836,0.017889884999999998,0.04694793,0.01273996604140848,0.19610750902211294
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,2,de58f0e8da6bebbbe959c73805a1979f8880623d9203fdcabedfaf5befc64906,714755fa-4418-4a81-b887-6384c4e44902,0.35268819599878043,0.23342618899187073,0.11241225502453744,0.006849751982372254,0.074425717,0.018191904000000002,0.04667792,0.012665573915001005,0.1957298120833002
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,3,0d3cca5b55f8c543c10d51f81652ebf9099318e4a1251e6fb21a6dcb141b1a52,dc1cf8b6-db07-420c-8fa1-04c8e0b87a8e,0.35633034398779273,0.24307852500351146,0.10715645697200671,0.006095362012274563,0.074443556,0.018130128,0.051085440999999995,0.013124706863891333,0.20542670093709603
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,4,164397346cc91bf403a80b768a2524f863bc5af31383ac699dd447e89c8a652d,f0380565-e025-4fa4-99cb-154894409784,0.35466637497302145,0.24372275598580018,0.10572594299446791,0.005217675992753357,0.074467304,0.018207687000000004,0.051557806,0.0138250439777039,0.20599369995761663
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,5,cdfaf69d5a6e5bbca0b10cc24b151f183243ff6bd500ca45b6783663c3184a54,fc122ac4-6f5f-4ec2-9dc8-209f94f35a94,0.3397535129915923,0.2295332860085182,0.10516084701521322,0.0050593799678608775,0.07446699,0.017950601,0.047321917,0.012666656984947622,0.19374113308731467
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,1,363ef95fc50010f03ba52fe0a5b877c27ebcd089a6b4b70d266d5e27ce1c8c19,df0837cd-74ac-49a3-9e99-84d9ac31965a,0.34776593995047733,0.2330517820082605,0.11053208698285744,0.004182070959359407,0.074416836,0.017889884999999998,0.04694793,0.01273996604140848,0.19610750902211294
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,2,de58f0e8da6bebbbe959c73805a1979f8880623d9203fdcabedfaf5befc64906,714755fa-4418-4a81-b887-6384c4e44902,0.35268819599878043,0.23342618899187073,0.11241225502453744,0.006849751982372254,0.074425717,0.018191904000000002,0.04667792,0.012665573915001005,0.1957298120833002
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,3,0d3cca5b55f8c543c10d51f81652ebf9099318e4a1251e6fb21a6dcb141b1a52,dc1cf8b6-db07-420c-8fa1-04c8e0b87a8e,0.35633034398779273,0.24307852500351146,0.10715645697200671,0.006095362012274563,0.074443556,0.018130128,0.051085440999999995,0.013124706863891333,0.20542670093709603
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,4,164397346cc91bf403a80b768a2524f863bc5af31383ac699dd447e89c8a652d,f0380565-e025-4fa4-99cb-154894409784,0.35466637497302145,0.24372275598580018,0.10572594299446791,0.005217675992753357,0.074467304,0.018207687000000004,0.051557806,0.0138250439777039,0.20599369995761663
