cell_id,family,topology_id,contrast,metric,ratio_of_medians,denominator_time_reduction_pct,paired_bootstrap_low,paired_bootstrap_high,same_selected_path
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/F,total_wall_s,1.0037048566811808,0.36911813831719265,0.9877481923998628,1.0181814276317234,False
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,R/U,session_inclusive_s,1.0,0.0,1.0,1.0,True
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,F/U,session_inclusive_s,0.9952957584447221,-0.47264760402765393,0.9783155376549326,1.0140718533111606,False
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,G/U,session_inclusive_s,2.3794539776378225,57.973551520725806,2.313854074195666,2.500498999141965,False
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,F/R,session_inclusive_s,0.9952957584447221,-0.47264760402765393,0.9783155376549326,1.0140718533111606,False
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,G/R,session_inclusive_s,2.3794539776378225,57.973551520725806,2.313854074195666,2.500498999141965,False
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,G/F,session_inclusive_s,2.3907004098520686,58.17125408608275,2.3651408826053,2.465800614598762,False
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,R/U,total_wall_s,1.0,0.0,1.0,1.0,True
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,F/U,total_wall_s,0.9993749071976875,-0.06254837877261998,0.9540258343081396,1.0260427650758175,False
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,G/U,total_wall_s,2.6490155476616164,62.250127188466784,2.5159183908853495,2.777771243660407,False
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,F/R,total_wall_s,0.9993749071976875,-0.06254837877261998,0.9540258343081396,1.0260427650758175,False
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,G/R,total_wall_s,2.6490155476616164,62.250127188466784,2.5159183908853495,2.777771243660407,False
