cell_id,family,topology_id,method,path_id,n,session_inclusive_s_median,session_inclusive_s_mad,total_wall_s_median,total_wall_s_mad,session_open_s_median,session_open_s_mad,session_close_s_median,session_close_s_mad,kernel_s_median,kernel_s_mad,h2d_s_median,h2d_s_mad,d2h_s_median,d2h_s_mad,request_build_sum_s_median,request_build_sum_s_mad,request_wave_wall_sum_s_median,request_wave_wall_sum_s_mad
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,R,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,5,0.5877130719600245,0.003948776051402092,0.4177020660135895,0.003216606972273439,0.1598069669562392,0.0017695919959805906,0.004898187005892396,0.001259544980712235,0.169499569,0.00042808699999999367,0.02529825099999999,0.00016248000000000998,0.060630964,0.00035150299999999607,0.028755595674738288,0.00019374798284843564,0.34485498891444877,0.0018624947406351566
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,U,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,5,0.5877130719600245,0.003948776051402092,0.4177020660135895,0.003216606972273439,0.1598069669562392,0.0017695919959805906,0.004898187005892396,0.001259544980712235,0.169499569,0.00042808699999999367,0.02529825099999999,0.00016248000000000998,0.060630964,0.00035150299999999607,0.028755595674738288,0.00019374798284843564,0.34485498891444877,0.0018624947406351566
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,G,740cebb98d01b20e761292de5e1d8ac73815c42d4841b7cc7d9ada0704821112,5,0.45572099200217053,0.0037266240105964243,0.28946311899926513,0.0034704719437286258,0.16061100899241865,0.0009227860136888921,0.005254980991594493,0.0006547980010509491,0.07722246299999999,2.7373000000011083e-05,0.029032709999999996,0.0001183589999999915,0.05728468,0.002809337000000002,0.020916586741805077,0.00045317475451156497,0.23004767100792378,0.003979782166425139
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,F,00426d166a3c0f128202dfa1d1dce53e9ac3696892daa43a0e3f0163f93d33e8,5,0.47696556302253157,0.0072781810304149985,0.29184104403248057,0.004542853042948991,0.16835416498361155,0.004003890964668244,0.004341415013186634,0.000686630024574697,0.07688218,5.215900000000995e-05,0.029584200999999997,0.0004912190000000011,0.056497887999999996,0.0004915429999999971,0.02095814887434244,0.0005031127366237342,0.23105818592011929,0.004760307900141925
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,R,00426d166a3c0f128202dfa1d1dce53e9ac3696892daa43a0e3f0163f93d33e8,5,0.47696556302253157,0.0072781810304149985,0.29184104403248057,0.004542853042948991,0.16835416498361155,0.004003890964668244,0.004341415013186634,0.000686630024574697,0.07688218,5.215900000000995e-05,0.029584200999999997,0.0004912190000000011,0.056497887999999996,0.0004915429999999971,0.02095814887434244,0.0005031127366237342,0.23105818592011929,0.004760307900141925
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,U,00426d166a3c0f128202dfa1d1dce53e9ac3696892daa43a0e3f0163f93d33e8,5,0.47696556302253157,0.0072781810304149985,0.29184104403248057,0.004542853042948991,0.16835416498361155,0.004003890964668244,0.004341415013186634,0.000686630024574697,0.07688218,5.215900000000995e-05,0.029584200999999997,0.0004912190000000011,0.056497887999999996,0.0004915429999999971,0.02095814887434244,0.0005031127366237342,0.23105818592011929,0.004760307900141925
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,G,04c40dc3a3e5dc7cdc616f7ecee17a1080e4e53ef8906de5f295dc378d515f0c,5,3.054747399932239,0.003207990899682045,2.805760774994269,0.00948131299810484,0.25033576803980395,0.005121876951307058,0.004815347958356142,0.00030047306790947914,2.029906671,0.0006044169999999127,0.146129783,0.001002052000000031,0.20809614499999998,0.0012534580000000128,0.11954476695973426,0.0022984161041677,2.7004206660203636,0.0016357239801436663
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,F,05c40dfc918ebf9749d8b351c7163e21e4448362669f77dca0925ca85f993ad2,5,1.42702594504226,0.007188328891061246,1.2883795060333796,0.005344598030205816,0.13386655697831884,0.0031399959698319435,0.004930121009238064,0.00030465394956991076,1.04667202,0.0001607040000000115,0.023108740000000006,0.00021053600000000422,0.05647426199999999,0.0003865559999999893,0.03238325595157221,0.0012675250181928277,1.2252136599854566,0.005780276085715741
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,R,05c40dfc918ebf9749d8b351c7163e21e4448362669f77dca0925ca85f993ad2,5,1.42702594504226,0.007188328891061246,1.2883795060333796,0.005344598030205816,0.13386655697831884,0.0031399959698319435,0.004930121009238064,0.00030465394956991076,1.04667202,0.0001607040000000115,0.023108740000000006,0.00021053600000000422,0.05647426199999999,0.0003865559999999893,0.03238325595157221,0.0012675250181928277,1.2252136599854566,0.005780276085715741
edc_test_data9_syndrome8_total17_r1/1dpu_t8,EDC,1dpu_t8,U,98b0a3b62c54a7307b987dcdb7e917b0c42563a2b2ff1dc8084f7bd26a1386bb,5,1.419503768964205,0.005755749996751547,1.2822624000255018,0.005506460031028837,0.1320916090044193,0.0011896470095962286,0.004956457007210702,0.0004039140185341239,1.045872733,0.0002132729999999583,0.023436195,0.000145428000000003,0.056599183,0.00019429299999999816,0.0320370631525293,0.0015470950747840106,1.2169545919750817,0.0025592229794710875
