cell_id,case_id,phase,backend,arm_id,role,planned_slots,issued_slots,success_count,unsupported_count,timeout_count,failure_count,complete,quality_qualified
cell-28e421ddfab83ffdf7704a5a2276d50a4ea00c5880427e302941b0cc0d19a911,hs_n18,calibration,upmem,db693aa2ee993965334a0d8bcf3cf527acd8986bf65459f4cdeabab303dd52cd,calibration,6,6,6,0,0,0,True,False
cell-296cf180f42c5ea4c7d44e6f47193bb48076e1d2c6a7a015942b3ad2b5cc6791,edc_n17,calibration,upmem,9ad7d5be40d378786e819ea767295ef2ca7b0340441bb7ac21ad6d0d43d6ae2b,calibration,6,6,6,0,0,0,True,False
cell-2a1c4806dac4030490a3e1b1862f1cc00337e987991e6a4cea142681eeeeff16,qrng_n18,calibration,upmem,f0578c4cb34d075bc450005b78009a895e11fe787101d8d370a5f3531ced7052,calibration,6,6,6,0,0,0,True,False
cell-2a1ca6d365084adabe0fe9a5d2f9fa470c805956fbecf0a89be0825f6ff8a6f3,ghz_n18,calibration,upmem,fce085219b1c27d878bfc98d0548813c7213b26a19b57f8282eee434946e3e23,calibration,6,6,6,0,0,0,True,False
cell-2a4ed2570b383e0cc9be8f709cd0ae9a21d4dc6a256e8134e25b3f3fae555788,hs_n18,calibration,upmem,77bb0e5533e4128656aac8f402022ace8ed38c374b3efac36f8111d0000cd588,calibration,6,6,6,0,0,0,True,False
cell-2a572d38a01633f03c5e9ec79ccea4288bbe48715ad3e0d3cd6e5788e2a50c0c,qrng_n18,calibration,upmem,4de752cd20a626fb5d38c84cd24596f0ac892f43c0338e45c812e3495a28786d,calibration,6,6,6,0,0,0,True,False
cell-2b39e78fad3e00ccec804df40855b1b9b1fddbbddf8c7902040a30e1fe297fbc,xor_n18,calibration,upmem,20c8045b6a202d1fd25525e162bc7e46452b3b39764438e593af95652f3df5a7,calibration,6,6,6,0,0,0,True,False
cell-2b5fdbd97c92fc51ada24f773e4e62fa7f16bd5e12cde7cd82778a6aac9575ca,stress_n16_l2,calibration,upmem,be81183e6d130ece72190f9176126a70d37731ee25893f68d1c49a2e8e15b57a,calibration,6,6,6,0,0,0,True,False
cell-2ba4aca7c0a99130160da155db333eb22b92bdb107b36e45b6cfa4dcae105b63,bb84_n18,calibration,upmem,8d3e6a2dcb9e27817d946a007935c4c6ab5423325451eb368683fa777b1a339a,calibration,6,6,6,0,0,0,True,False
cell-2ba5433672891faa7e058961bb03b593c6d0a4a6d893dc5d98072c5de9137cca,bb84_n18,calibration,upmem,4de752cd20a626fb5d38c84cd24596f0ac892f43c0338e45c812e3495a28786d,calibration,6,6,6,0,0,0,True,False
cell-2becb6f4110c897b3b51c1323d60a99c13b9e58e2121af5a4e543326b1f9fbcc,stress_n18_l2,calibration,upmem,5a76deaf2578d66a1ed475a0625c79ecc46b434a603602a26254e6c5fdee642e,calibration,6,6,6,0,0,0,True,False
cell-2ce0c4817e19940a52e00706d16d8a3c848fda43d2b9b46d984414e64415ed6c,xor_n18,calibration,upmem,b40d2a979f64a3b3ab05f38150d4b2839689d7d7260c4c652b0ef0a7dad60c6a,calibration,6,6,6,0,0,0,True,False
cell-2d6bc5bff719149330254b0203d97cd038a083f171eca87cb0ed8bb9e7340594,xor_n18,calibration,upmem,8b892f357816dd1534b7d64a9b941d6f3ca582200ce7b19a338c16c57be83d61,calibration,6,6,6,0,0,0,True,False
cell-2df6e713d2ba6660701a5c6e4ea960c578779f8fb5e16cb6dff5847189bb0e69,stress_n18_l2,calibration,upmem,c8d83617187702ca6bdf030b2c3ee00db58f0d28a8d536059f9c54097e067190,calibration,6,6,6,0,0,0,True,False
cell-2eb35c4c6bfa7e6aeec2e5359af7eedd818c72e7a5ef1ae2074ebc76f265ae42,bb84_n18,calibration,upmem,8880c53b3a27d74ecc95016a53311eb9d495eecb2968a9189fc6e0d7019acba0,calibration,6,6,6,0,0,0,True,False
cell-2f3c0b57073c3ccb74fc354c7f0dc87455051647a7338190fadde5bda3200935,stress_n18_l2,calibration,upmem,3872eb5801c4ed1caf76d52c86eaeb5d01128bb9b7f41dc2a4a1b6e7b6582d5a,calibration,6,6,6,0,0,0,True,False
cell-2fb630bbbd221e20ac93712a0f55442cc3e0c9c8df609c2ccc7813743b4816e2,qrng_n18,calibration,upmem,27b62e57038c9a28dce9f5844c37556b2808dc892f3a5401afe82eba05fa54ed,calibration,6,6,6,0,0,0,True,False
cell-3092e28c57f8d8caad554dc0281d7a246a0382f2535cf996b08853b4f661fdb9,xor_n18,calibration,upmem,b25102eb1206025c37693d4568170e6fe4c3ea6ce479debe1c96bd1799124c16,calibration,6,6,6,0,0,0,True,False
cell-316b7bdab59d087f9928d04d7643472e7bca57e149a88124971d1ac3b589cdf9,ghz_n18,calibration,upmem,26d383578cf3bdc75d6e47da6e0024efb05ac8a55653eda872e3df3a1ac2cbba,calibration,6,6,6,0,0,0,True,False
cell-31a74faad05704fadbdadaed9ca7bfdd6dccfad4d551af1ffc09892eba0f638e,bv_n18,calibration,upmem,db693aa2ee993965334a0d8bcf3cf527acd8986bf65459f4cdeabab303dd52cd,calibration,6,6,6,0,0,0,True,False
