view,case_id,point,cell_id,median_prepared_call_s,raw_mad,count
T,edc_n17,T3,cell-ff065cda487a892bcc33a4c9bd008858f0aebc8014f4f02cf8d50e8e4f621715,7.67486089799786,0.06364863796625286,5
T,edc_n17,T4,cell-558fbfafd0736d8eb7f9b44c1780d982f3b74a2dfbdfd7f026d074c2eaace5b7,5.791942832991481,0.016108481970150024,5
T,edc_n17,T5,cell-28a076e81e2ce786fed441c12b120aec7afb9b54fe94475395c4a7c4e196f7ae,5.7851923069683835,0.017164683958981186,5
T,edc_n17,T6,cell-6613a8a1d3d0699b41f4bf88712908b24abdf9c0735646af512cad2c54669d13,5.74774838599842,0.04921561700757593,5
T,edc_n17,T7,cell-19e801741b6d9478a56f5e7948f34c149a48258ab4445b2d2b5dbb7dcefd72e9,5.77153458003886,0.04219191602896899,5
T,edc_n17,T8,cell-80ff103fe974788386d5ac93701495ae466d82afac13069f32f0942da82e683e,3.872639707988128,0.056980970955919474,5
T,edc_n17,T9,cell-6b065fbf5b2b3b1b5665d3894aac247f70cc302ffc1abbdf287f12522cd19bb9,3.8917175909737125,0.05844072002219036,5
T,edc_n17,T10,cell-1576540bc9eddf62742fbd58f0b7654291b8f8d3bed5a913998540fcbf706f4c,3.9092287350213155,0.015882766048889607,5
T,edc_n17,T11,cell-c12b269a154b94bac91bb66592e5f1e873a416f6034b8da42e97bdde61c8ef81,3.904263182019349,0.043217287049628794,5
T,edc_n17,T12,cell-5e22d583e02f4033c7e53e01d2dd7517d4dd22432ee588f330c25826028b83b8,3.923400628962554,0.016755906923208386,5
T,edc_n17,T13,cell-6588f5e5635bb8d69c6eaec83a8876038cb82b468f0616de84e5e835a2e251a8,3.9212695169844665,0.012818004994187504,5
T,edc_n17,T14,cell-61e27e4784b0028b4d7911231caf06972873c473197261743479061c10eef60d,3.958011673996225,0.007027188024949282,5
T,edc_n17,T15,cell-d7aa7d86afa0e8dc33101bf830891a0fa0bce3622946b1ab20b33c49c6432635,3.9973586130072363,0.031448736030142754,5
T,edc_n17,T16,cell-d3173ad9f3574e0234c4e6480d8630abfb7734066977ec2dd141800e1bbf0786,3.926966684986837,0.07192927901633084,5
T,edc_n17,T17,cell-e190a47082ec9e2551ee031f2d6142817c5fce0418797ac602a590ba7347497c,3.941504492016975,0.04094918497139588,5
T,edc_n17,T18,cell-33ddfa0fe7332075b32d41fe6a591bd1ff1908443aa7dff7f4d52ee053e43841,3.940073248988483,0.01266794401453808,5
T,edc_n17,T19,cell-9f3cf3f445117aae658620fad86429c6bcf2402cf13a083e31b2ffaf37554b7c,3.9203036360559054,0.03934193204622716,5
T,edc_n17,T20,cell-133afcdcb9fa34a6a6de42957d13828ae28575e5d53e58c55714a4d0c9800322,3.9570396880153567,0.07943959400290623,5
T,edc_n17,T21,cell-453d66fde9fbbc9592c9a724cce5cdce07b27a4e56ca051587fa10a86c9c08df,3.9734405810013413,0.026427717006299645,5
T,edc_n17,T22,cell-98d47586f377ec0841e201b236a3e4fded8f6fcf0b3d4aaf56070b138623e4c2,4.06732687400654,0.016008895996492356,5
T,edc_n17,T23,cell-b6d6783d5a9a8acc4090c2d35c5cc565a260dd0283bb8692ea7c87f24b2adae4,3.996130315994378,0.0034670140012167394,5
T,edc_n17,T24,cell-f8fa0889123480f3d77ad9f4ed845143563cae1553538f6bb760eb20d872b95f,3.9841214700136334,0.040019376028794795,5
T,hs_n18,T1,cell-bb60f34b41be7c2fa6b05d677af3a3914767425628955f479484c20bf0e1172c,4.0437677299487405,0.0028459300519898534,5
T,hs_n18,T2,cell-0a6e26f550cbb721b583b567cc6f79d55469a701ede674715014d157863e4754,2.9136753320344724,0.027098045975435525,5
T,hs_n18,T3,cell-41eb596e5ad2a6b9234d3599b296aee791d48af63113a449c789746dd316243e,2.6076104159583338,0.027187480009160936,5
T,hs_n18,T4,cell-5c3f99915a64b08a48f7b8439fb774119def11ff1daed501bacac26bd8462280,2.384596918011084,0.01641150302020833,5
T,hs_n18,T5,cell-f40d42fa83cb4d8b12b5893066b318ca3314fff1106a6dd3c014a249ad9a1b09,2.26305385195883,0.00757293397327885,5
T,hs_n18,T6,cell-098c63a3aa14fd727b444886359706baee3164b9dad72b8bfbc7426df735cdd4,2.196216960030142,0.021591986995190382,5
T,hs_n18,T7,cell-28e421ddfab83ffdf7704a5a2276d50a4ea00c5880427e302941b0cc0d19a911,2.112945785978809,0.013850412971805781,5
T,hs_n18,T8,cell-a81fcf1c11705e95b0da6a63b421d3f2b56b61f855696f95486be34223cfefd0,2.0976687440415844,0.015742540068458766,5
T,hs_n18,T9,cell-8975124c43b98090857d3b63197d6f17ed305a464bfb46f18987462adf30f412,2.060603661055211,0.03942539694253355,5
T,hs_n18,T10,cell-ce5d55b151031bcfa6652473f5829218de904c243dce3c6096229d39e6855fd2,2.069946206989698,0.0023393910378217697,5
T,hs_n18,T11,cell-dba233cc0f1c1729ed01ee3b570aabd2782fc95fc7cb7b4885637ea77d9c7961,2.0462775490013883,0.038423112011514604,5
T,hs_n18,T12,cell-dc0a5cd48d8aa77156b662aa6ba12aea2cbb401895e92fe6227654deebfd835f,2.0583244810113683,0.027783433033619076,5
T,hs_n18,T13,cell-cdf2294374037fedd53e7b19e6833aee04b7b19c942e66be7d83a8e2e713ed69,2.0216037489590235,0.02997978893108666,5
T,hs_n18,T14,cell-25c8679e2877c487b94936b4e02ed2a920d6f4732513b5c9daea95e30c2fa469,2.0453835479565896,0.02224544098135084,5
T,hs_n18,T15,cell-596a20b230eac7c1836b18a11ab446a949da9a043c3d536d4c1f5929c82fa878,2.047255765995942,0.03283629199722782,5
T,hs_n18,T16,cell-330409584dc20b8e574ede26c239106f4ed22bccc5577e65350848986e41a3a9,2.0271485570119694,0.013581748004071414,5
T,hs_n18,T17,cell-21e77bd5995e103c62ce1087c1ae3f60fda72b0e27e363a739c8a2a67dbc1274,2.0673094570520334,0.015965904050972313,5
T,hs_n18,T18,cell-d2a8e7a73666fa621549ac57fdd47b092338b048889dfa25ee8e6239a8ba99b0,2.0396264389855787,0.023395936004817486,5
T,hs_n18,T19,cell-627c2470c16b7c87b091e36c1c827ec3999dedeb89daf885b9b0bd44ddc2de3c,2.0493465479812585,0.02281911694444716,5
T,hs_n18,T20,cell-e15406721fd4fbadc501d6ec6616ef35cae714a043f08b3233805070848ae931,2.094194985984359,0.010709116992074996,5
T,hs_n18,T21,cell-1660b0baf87b188d6fbd40b87bffa7c07e4ea6b3e75c423444ee08976c3ba72e,2.0698506330372766,0.009846660948824137,5
T,hs_n18,T22,cell-9a14090b1e44ab1f8b365506e8b1712564db88300eaa4242aa9b84f1280e5ebf,2.04915684601292,0.021597240993287414,5
T,hs_n18,T23,cell-62a9c7655ee325085d2d1e02a9b20a8693553526b571c7247fa97af5c2c2690a,2.15766186703695,0.021573565958533436,5
T,hs_n18,T24,cell-31b19b10b1d1886c26765c3cb05e62f1cb384dbd879b5655600d4d80bf1eb616,2.0577513829921372,0.01886024500709027,5
T,qrng_n18,T1,cell-f50a27e4e009730a3b1d365bc86190773268d8cbefab93f3f17bddb0c2e2c25d,4.0362315570237115,0.005154740996658802,5
T,qrng_n18,T2,cell-2a572d38a01633f03c5e9ec79ccea4288bbe48715ad3e0d3cd6e5788e2a50c0c,2.3212623950093985,0.00859464198583737,5
T,qrng_n18,T3,cell-00cc838666e06c32ee9cbe9548f6dcb5f3d5cbfe85e6e9236a08ec28995c8633,1.7557379769859836,0.00991519697709009,5
T,qrng_n18,T4,cell-0080d4585b332bd8e31923971e4ad47b2637aff70e916901de6fab69d5510984,1.4630097899935208,0.0069886259734630585,5
T,qrng_n18,T5,cell-28474e4369716b868c0ce368e3dacfa6cfc8782e4f77f7c44e307b2854683f39,1.2802837369963527,0.011728821031283587,5
