phase,case_id,cell_id,metric,median,raw_mad,count,role
calibration,stress_n16_l2,cell-18c0e479a5b8de80fc5fd98d6646f29e7b160606606ff865fb605d735ab689f2,job_to_state_cached_path_s,2.5630072519998066,0.01652325998293236,7,
calibration,stress_n16_l2,cell-18c0e479a5b8de80fc5fd98d6646f29e7b160606606ff865fb605d735ab689f2,kernel_s,0.36132395300000003,0.0007271229999999962,7,
calibration,hs_n18,cell-9ec2a2e012e4e825c75dc51c2a515bd1f86c7005ec5cb7154c5b7a297172dbe5,prepared_call_s,1.2739312629564665,0.007109193946234882,5,
calibration,hs_n18,cell-9ec2a2e012e4e825c75dc51c2a515bd1f86c7005ec5cb7154c5b7a297172dbe5,job_to_state_s,1.6725202890229411,0.009217084967531264,5,
calibration,hs_n18,cell-9ec2a2e012e4e825c75dc51c2a515bd1f86c7005ec5cb7154c5b7a297172dbe5,job_to_state_cached_path_s,1.6725207199924625,0.009217016980983317,5,
calibration,hs_n18,cell-9ec2a2e012e4e825c75dc51c2a515bd1f86c7005ec5cb7154c5b7a297172dbe5,kernel_s,0.13702309800000004,0.00035997800000003854,5,
calibration,qrng_n18,cell-6180cfff5f5e2cc3beb925910c09fdf94270103347d6323cfee59eaf511392a6,prepared_call_s,0.4163380640093237,0.01692489697597921,5,
calibration,qrng_n18,cell-6180cfff5f5e2cc3beb925910c09fdf94270103347d6323cfee59eaf511392a6,job_to_state_s,0.4530161379952915,0.016524698003195226,5,
calibration,qrng_n18,cell-6180cfff5f5e2cc3beb925910c09fdf94270103347d6323cfee59eaf511392a6,job_to_state_cached_path_s,0.45301662100246176,0.016524815990123898,5,
calibration,qrng_n18,cell-6180cfff5f5e2cc3beb925910c09fdf94270103347d6323cfee59eaf511392a6,kernel_s,0.017921562000000002,3.535099999999944e-05,5,
calibration,xor_n18,cell-f291fc148d5acb839a173565f64979c8e1fc60d740a45a0584a00c57c69bb278,prepared_call_s,1.3066021209815517,0.0015273489407263696,5,
calibration,xor_n18,cell-f291fc148d5acb839a173565f64979c8e1fc60d740a45a0584a00c57c69bb278,job_to_state_s,1.4529237119713798,0.0013032930437475443,5,
calibration,xor_n18,cell-f291fc148d5acb839a173565f64979c8e1fc60d740a45a0584a00c57c69bb278,job_to_state_cached_path_s,1.4529242159915157,0.0013032170245423913,5,
calibration,xor_n18,cell-f291fc148d5acb839a173565f64979c8e1fc60d740a45a0584a00c57c69bb278,kernel_s,0.136941997,9.67960000000101e-05,5,
calibration,bv_n18,cell-3fa3987d0c49373e092dad40f0113a2674e791372b12a942925d9cd1594dbd9b,prepared_call_s,1.2633145159925334,0.0074995000613853335,5,
calibration,bv_n18,cell-3fa3987d0c49373e092dad40f0113a2674e791372b12a942925d9cd1594dbd9b,job_to_state_s,1.3379665190004744,0.007148247037548572,5,
calibration,bv_n18,cell-3fa3987d0c49373e092dad40f0113a2674e791372b12a942925d9cd1594dbd9b,job_to_state_cached_path_s,1.3379668720299378,0.007148306001909077,5,
calibration,bv_n18,cell-3fa3987d0c49373e092dad40f0113a2674e791372b12a942925d9cd1594dbd9b,kernel_s,0.476048864,0.0005984839999999547,5,
calibration,hs_n18,cell-28e421ddfab83ffdf7704a5a2276d50a4ea00c5880427e302941b0cc0d19a911,prepared_call_s,2.112945785978809,0.013850412971805781,5,
