view,case_id,role,cell_id,median_job_to_state_cached_path_s,raw_mad_cached_s,median_prepared_call_s,count,accuracy_qualified
W,hs_n18,quest32_p1,cell-231c305768548539dcb037ebe240dc4fe53e9526b0aa9a59157482c915182c45,0.1102150889346376,0.0001430230331607163,0.11013225495116785,5,True
W,hs_n18,numpy_f32_p1,cell-3c2426de657e283249b21cc23a48ce3f1a211f52f48f15d0dc56f95630941739,0.33914477104553953,0.006620101921726018,0.04693100298754871,5,True
W,hs_n20,upmem_f32,cell-2270649fce6da493b54b73c607b95788cb27b437f8026e2546dda296cf890112,3.4905462120077573,0.027474267000798136,2.4186801959876902,5,True
W,hs_n20,upmem_int8,cell-94ddc2de6703f2f2e660f32727b985f9a890d8a8d0d4cc5024be53e02307bf59,3.3866483510355465,0.03030780906556174,2.313610946002882,5,True
W,hs_n20,quest32_p8,cell-499aafa6e100d13e53da78e34ceb3cef132598e61505f7b377434aeef0679d08,0.5002470019971952,0.00014685298083350062,0.5001557390205562,5,True
W,hs_n20,quest32_p1,cell-1e3c27233f617a89b6622c34c955bda50a30b063be53acefe1c78bfec4085e83,0.4818756780587137,0.0003132559941150248,0.48178634903160855,5,True
W,hs_n20,numpy_f32_p1,cell-2dc9af293fa3fdff862d6f2947c2a11857ce3a7a48891eb4f9a031054751a72a,0.5057290279655717,0.005354121036361903,0.10933450004085898,5,True
W,hs_n22,upmem_f32,cell-6686b4238a6bbc40ccdf299df5d99c2c16f956233db2186d51afbb36b44d23ea,6.882311971974559,0.02356608596164733,5.4954690570011735,5,True
W,hs_n22,upmem_int8,cell-c2d6ec352dd4b12a5cfcdd98d57a2b7937328dc984528bbcc9b47dbf5cf9ee40,6.640879271028098,0.02866069704759866,5.255394731007982,5,True
W,hs_n22,quest32_p8,cell-f1fdca0e87511c7f8a4205bba9e9674ee01250036bbcd58a7753750f8603529d,2.1792148610693403,0.001268792140763253,2.179116926039569,5,True
W,hs_n22,quest32_p1,cell-f19f03ac379c8fb984225502b8c24c268d71e0084b7e0d87f9077555cc3909e2,2.1534872369957156,0.0022592009627260268,2.1533864969969727,5,True
W,hs_n22,numpy_f32_p1,cell-fb42ede547b086c2d3c783b4ae717ba53f5721ee699408a8ef0151f801febcf6,0.9889308350393549,0.009738563967403024,0.39185766997979954,5,True
W,hs_n24,upmem_f32,cell-e365d56b6b321c910836a8de5470daf9c7f037ba4cf1d7c04a941fbe94ac6a5f,19.043984159012325,0.4184417399810627,17.43686906900257,5,True
W,hs_n24,upmem_int8,cell-aecc0f4d451d58165d393deefa80b519cc6825c3a125383e920b0cc05bf5ce90,17.516633826016914,0.004396402044221759,15.895125748007558,5,True
W,hs_n24,quest32_p8,cell-0d2a93ffa292af743e83455497bf8ec305e304f779b5761730effc4e0ac30ca3,9.469091046019457,0.00556420796783641,9.46898439002689,5,True
W,hs_n24,quest32_p1,cell-5956a913b226f163ee73ae9279a9488a8ac82d0fde52a66c814021319fb28169,9.410011156986002,0.003007038962095976,9.4099034370156,5,True
W,hs_n24,numpy_f32_p1,cell-f4a1429d937c87d29e2067d31dc9de7cd05ceef3d72650569c274827a19326d7,2.811210257001221,0.016059403016697615,1.5824393359944224,5,True
W,hs_n26,quest32_p8,cell-8fb0ff01b6ac71a56b4f5b67d2efaba128204e5ce84bcfed63623ff173d0e1b0,41.17170001496561,0.0047867949469946325,41.171591072983574,5,True
W,hs_n26,quest32_p1,cell-247c27c62338c5f92f3db7a72e0bd6747d0a01a37fb5ccace81e6a9327084f7e,40.77233619900653,0.018970364064443856,40.77222676796373,5,True
W,qrng_n08,upmem_f32,cell-b3f4f57e3a4406c112272b27e0f3ebc5db80c2562dd233e198d6113c026b6c91,0.13246541301487014,0.008042573987040669,0.1207164810039103,5,True
W,qrng_n08,upmem_int8,cell-ed1e7e70456a27dc178ac18381008894c196b327426be45d203d3b7ee6e527ae,0.15647670696489513,0.01069464097963646,0.14482877001864836,5,True
W,qrng_n08,quest32_p8,cell-55de11176e342958bb5c9d6b9dc101d7434a226aea160e3bcd0b4aeb2740adde,0.001446601061616093,2.45007686316967e-06,0.0014222700265236199,5,True
W,qrng_n08,quest32_p1,cell-fd4a48867dc75ef2e6c7d21042f64754c69bb8e8fd65dc3e859d639bee4011e4,0.00024582899641245604,6.507965736091137e-06,0.00022164004622027278,5,True
W,qrng_n08,numpy_f32_p1,cell-a8e29c3120ce5b81a95c2dc120b83b24b69d141c9090e8442eb9b8e0dcdbfd67,0.007900047989096493,5.495903315022588e-05,0.004086890025064349,5,True
W,qrng_n12,upmem_f32,cell-951cfe92e230d11bcf4f3ba05906675bbf3090f54ff898149348de6786340b26,0.1891397860017605,0.0053882760112173855,0.16863438399741426,5,True
W,qrng_n12,upmem_int8,cell-69a5538f5ea60f479efe97fdb8c18c080e082869bb7df88e76702e8294db8779,0.1916728329961188,0.0038123129634186625,0.17076760495547205,5,True
