configuration_id,arm,fixture_id
3ba097dc4b13b98c1e69c047ab63ddec6e826a4dcac84fb4fa8b81e272e78f84,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":16,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
3ba097dc4b13b98c1e69c047ab63ddec6e826a4dcac84fb4fa8b81e272e78f84,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":16,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
41a81d7925a3c66646b16df3f8f555878fed40a48542a39146597d62c3e210f9,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":13,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
41a81d7925a3c66646b16df3f8f555878fed40a48542a39146597d62c3e210f9,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":13,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
46b9da7ab5f820bd2c2c60ccce1213119fc7130826ccef930cd7992522430b23,"{""backend"":""upmem"",""dpus"":4,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
46b9da7ab5f820bd2c2c60ccce1213119fc7130826ccef930cd7992522430b23,"{""backend"":""upmem"",""dpus"":4,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
4de752cd20a626fb5d38c84cd24596f0ac892f43c0338e45c812e3495a28786d,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":2,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
4de752cd20a626fb5d38c84cd24596f0ac892f43c0338e45c812e3495a28786d,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":2,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
500337d491059f285a742b22fc3410f6a578fd63dc4d0f52030103cab63ec015,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":21,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
500337d491059f285a742b22fc3410f6a578fd63dc4d0f52030103cab63ec015,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":21,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
5a62bf542200bf710caf573838f36d0fd198d6636aa7b6c50f42d3572bc51473,"{""backend"":""upmem"",""dpus"":32,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
5a62bf542200bf710caf573838f36d0fd198d6636aa7b6c50f42d3572bc51473,"{""backend"":""upmem"",""dpus"":32,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
5a76deaf2578d66a1ed475a0625c79ecc46b434a603602a26254e6c5fdee642e,"{""backend"":""upmem"",""dpus"":4,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
5a76deaf2578d66a1ed475a0625c79ecc46b434a603602a26254e6c5fdee642e,"{""backend"":""upmem"",""dpus"":4,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
61fb5254f03558c44f72d70c7e3bd0b449e30cc4b75fdeec49262f5580b6c5fe,"{""backend"":""upmem"",""dpus"":1,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
61fb5254f03558c44f72d70c7e3bd0b449e30cc4b75fdeec49262f5580b6c5fe,"{""backend"":""upmem"",""dpus"":1,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
62a47992f9fc9f3bd2e91d1bd0a864752984aec3313515cc8e4a9d9ad0bd081b,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":23,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
62a47992f9fc9f3bd2e91d1bd0a864752984aec3313515cc8e4a9d9ad0bd081b,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":23,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
6e3d096bf26fc5d85f31f1670950563229bc62e50027c58f94c155d639b8b8c1,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
6e3d096bf26fc5d85f31f1670950563229bc62e50027c58f94c155d639b8b8c1,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
77bb0e5533e4128656aac8f402022ace8ed38c374b3efac36f8111d0000cd588,"{""backend"":""upmem"",""dpus"":32,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
77bb0e5533e4128656aac8f402022ace8ed38c374b3efac36f8111d0000cd588,"{""backend"":""upmem"",""dpus"":32,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
7f1d4a33ef36c6275faf29ecea97c8f4794e54748f6e4607e72c16cf07990c4f,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":6,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
7f1d4a33ef36c6275faf29ecea97c8f4794e54748f6e4607e72c16cf07990c4f,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":6,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
828f0ad95ec8d00d9d3dba73c6a3057d822b8f90f1014a9a96d1c83681eb953d,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":22,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
