case_id,family,cohort,role,view,blocks,selection_family,binding
edc_n11,edc,primary,quest32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n11,edc,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n15,edc,primary,upmem_f32,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n15,edc,primary,upmem_int8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n15,edc,primary,quest32_p8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n15,edc,primary,quest32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n15,edc,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n17,edc,primary,upmem_f32,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n17,edc,primary,upmem_int8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n17,edc,primary,quest32_p8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n17,edc,primary,quest32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n17,edc,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n19,edc,primary,upmem_f32,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n19,edc,primary,upmem_int8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n19,edc,primary,quest32_p8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n19,edc,primary,quest32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n19,edc,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n21,edc,primary,upmem_f32,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n21,edc,primary,upmem_int8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
